event_id,station,start_time,end_time,fault_type_num,fault_type,affected_variable,original_value,modified_value,severity,injection_parameters
f66ba5d3,Bengaluru,2024-02-20 13:00:00,2024-02-20 13:00:00,1,SPIKE,relative_humidity_pct,22.0,27.158360581632515,small,mag=5.16
a6e3d42c,Bengaluru,2022-08-25 22:00:00,2022-08-25 22:00:00,1,SPIKE,surface_pressure_hpa,912.6,914.245732218326,small,mag=1.65
892177e6,Bengaluru,2024-05-11 15:00:00,2024-05-11 15:00:00,1,SPIKE,surface_pressure_hpa,912.6,918.3054397840966,medium,mag=5.71
9693e918,Bengaluru,2023-01-30 15:00:00,2023-01-30 15:00:00,1,SPIKE,temperature_c,27.1,28.76408917219247,small,mag=1.66
62ee73fe,Bengaluru,2021-01-18 17:00:00,2021-01-18 17:00:00,1,SPIKE,temperature_c,23.7,25.840170042883273,small,mag=2.14
346a70a4,Bengaluru,2022-03-12 23:00:00,2022-03-12 23:00:00,1,SPIKE,temperature_c,21.9,16.119425371741123,medium,mag=-5.78
7ec9b220,Bengaluru,2024-02-29 00:00:00,2024-02-29 00:00:00,1,SPIKE,temperature_c,20.4,36.11628906199262,large,mag=15.72
452ac0a4,Bengaluru,2023-07-19 02:00:00,2023-07-19 02:00:00,1,SPIKE,relative_humidity_pct,87.0,127.36452344851133,large,mag=40.36
6f8c6b63,Bengaluru,2023-01-29 18:00:00,2023-01-29 18:00:00,1,SPIKE,relative_humidity_pct,50.0,54.628367725591154,small,mag=4.63
bebe00a1,Bengaluru,2022-03-01 13:00:00,2022-03-01 13:00:00,1,SPIKE,relative_humidity_pct,24.0,8.126995266974106,medium,mag=-15.87
96553225,Bengaluru,2022-08-11 22:00:00,2022-08-11 22:00:00,1,SPIKE,relative_humidity_pct,86.0,103.61440572466894,medium,mag=17.61
a3ed1192,Bengaluru,2023-07-09 03:00:00,2023-07-09 03:00:00,1,SPIKE,temperature_c,20.3,25.42598729127789,medium,mag=5.13
3be1b3ba,Bengaluru,2021-10-07 02:00:00,2021-10-07 02:00:00,1,SPIKE,temperature_c,19.9,21.90470775523901,small,mag=2.00
940b249a,Bengaluru,2021-09-11 06:00:00,2021-09-11 06:00:00,1,SPIKE,temperature_c,19.8,25.558540484969086,medium,mag=5.76
bc9249ab,Bengaluru,2023-11-04 10:00:00,2023-11-04 10:00:00,1,SPIKE,relative_humidity_pct,63.0,45.99753027216116,medium,mag=-17.00
d708b452,Bengaluru,2021-09-22 02:00:00,2021-09-22 02:00:00,1,SPIKE,surface_pressure_hpa,911.2,917.174466127263,medium,mag=5.97
ca04aa3f,Bengaluru,2023-09-08 06:00:00,2023-09-08 06:00:00,1,SPIKE,surface_pressure_hpa,912.5,889.9631669190763,large,mag=-22.54
e4c03b4d,Bengaluru,2023-07-29 05:00:00,2023-07-29 05:00:00,1,SPIKE,relative_humidity_pct,94.0,47.94996856042253,large,mag=-46.05
d9cfbfd4,Bengaluru,2022-12-24 07:00:00,2022-12-24 07:00:00,1,SPIKE,relative_humidity_pct,74.0,79.484833367962,small,mag=5.48
94491c39,Bengaluru,2021-04-29 15:00:00,2021-04-29 15:00:00,1,SPIKE,temperature_c,29.8,25.378740690386113,medium,mag=-4.42
07db8146,Bengaluru,2024-06-08 12:00:00,2024-06-08 12:00:00,1,SPIKE,relative_humidity_pct,60.0,65.70582563078379,small,mag=5.71
cc2119f3,Bengaluru,2021-12-07 20:00:00,2021-12-07 20:00:00,1,SPIKE,surface_pressure_hpa,915.5,909.6836819075628,medium,mag=-5.82
b557f041,Bengaluru,2023-10-31 15:00:00,2023-10-31 15:00:00,1,SPIKE,temperature_c,25.8,28.063478471497774,small,mag=2.26
0249ba99,Bengaluru,2021-08-04 04:00:00,2021-08-04 04:00:00,1,SPIKE,temperature_c,19.8,18.095344271438638,small,mag=-1.70
c83d0219,Bengaluru,2023-03-12 13:00:00,2023-03-12 13:00:00,1,SPIKE,relative_humidity_pct,30.0,35.10336084225278,small,mag=5.10
45a3272e,Bengaluru,2023-09-15 12:00:00,2023-09-15 12:00:00,1,SPIKE,relative_humidity_pct,59.0,25.796098238819724,large,mag=-33.20
c299e44b,Bengaluru,2022-06-10 01:00:00,2022-06-10 01:00:00,1,SPIKE,surface_pressure_hpa,910.5,912.7676760159088,small,mag=2.27
e5ef69c7,Bengaluru,2021-07-09 22:00:00,2021-07-09 22:00:00,1,SPIKE,surface_pressure_hpa,910.5,893.4804358457429,large,mag=-17.02
60e27494,Bengaluru,2021-05-06 03:00:00,2021-05-06 03:00:00,1,SPIKE,relative_humidity_pct,91.0,107.77673382932825,medium,mag=16.78
326ac312,Bengaluru,2022-09-15 07:00:00,2022-09-15 07:00:00,1,SPIKE,temperature_c,20.0,15.500940521554151,medium,mag=-4.50
c6a2dc3d,Bengaluru,2023-03-02 05:00:00,2023-03-02 05:00:00,1,SPIKE,temperature_c,15.1,20.868269402902015,medium,mag=5.77
d793de34,Bengaluru,2021-08-06 21:00:00,2021-08-06 21:00:00,1,SPIKE,relative_humidity_pct,81.0,127.8122211611129,large,mag=46.81
88921d34,Bengaluru,2022-09-28 16:00:00,2022-09-28 16:00:00,1,SPIKE,temperature_c,27.4,29.648617375952316,small,mag=2.25
8ecb1736,Bengaluru,2021-10-03 19:00:00,2021-10-03 19:00:00,1,SPIKE,relative_humidity_pct,94.0,88.1510254095169,small,mag=-5.85
a2c5e830,Bengaluru,2023-11-04 23:00:00,2023-11-04 23:00:00,1,SPIKE,relative_humidity_pct,95.0,139.97198906519023,large,mag=44.97
ffedd203,Bengaluru,2023-01-30 01:00:00,2023-01-30 01:00:00,1,SPIKE,relative_humidity_pct,98.0,102.21619125280591,small,mag=4.22
9227a930,Bengaluru,2024-05-23 02:00:00,2024-05-23 02:00:00,1,SPIKE,temperature_c,21.3,15.666826788806143,medium,mag=-5.63
f4bdbd5c,Bengaluru,2023-09-24 05:00:00,2023-09-24 05:00:00,1,SPIKE,relative_humidity_pct,96.0,79.22792700508283,medium,mag=-16.77
e1e9c4cc,Bengaluru,2022-03-21 03:00:00,2022-03-21 03:00:00,1,SPIKE,temperature_c,20.4,18.645496169337832,small,mag=-1.75
52ceeb7b,Bengaluru,2023-10-08 20:00:00,2023-10-08 20:00:00,1,SPIKE,relative_humidity_pct,89.0,106.80133462429016,medium,mag=17.80
5abbc68d,Bengaluru,2023-08-29 03:00:00,2023-08-29 03:00:00,1,SPIKE,relative_humidity_pct,87.0,101.39807030616036,medium,mag=14.40
bbdae458,Bengaluru,2022-07-27 02:00:00,2022-07-27 02:00:00,1,SPIKE,surface_pressure_hpa,911.4,915.6306835037028,medium,mag=4.23
dd6fdf85,Bengaluru,2022-12-31 00:00:00,2022-12-31 00:00:00,1,SPIKE,relative_humidity_pct,91.0,96.96710114576618,small,mag=5.97
c11ca25c,Bengaluru,2021-07-14 23:00:00,2021-07-14 23:00:00,1,SPIKE,temperature_c,20.4,22.276549689343838,small,mag=1.88
6f3cda27,Bengaluru,2022-04-13 07:00:00,2022-04-13 07:00:00,1,SPIKE,relative_humidity_pct,80.0,95.06853835801687,medium,mag=15.07
1afd6ef4,Bengaluru,2024-12-29 13:00:00,2024-12-29 13:00:00,1,SPIKE,relative_humidity_pct,49.0,16.2898154605883,large,mag=-32.71
7b344de3,Bengaluru,2022-10-31 11:00:00,2022-10-31 11:00:00,1,SPIKE,relative_humidity_pct,54.0,59.61302173940021,small,mag=5.61
60cbde65,Bengaluru,2022-03-23 04:00:00,2022-03-23 04:00:00,1,SPIKE,surface_pressure_hpa,910.7,932.5963015479224,large,mag=21.90
8e4acfb1,Bengaluru,2024-06-16 06:00:00,2024-06-16 06:00:00,1,SPIKE,temperature_c,20.2,14.30225102805737,medium,mag=-5.90
07acbe79,Bengaluru,2023-11-03 03:00:00,2023-11-03 03:00:00,1,SPIKE,relative_humidity_pct,92.0,46.43175552789864,large,mag=-45.57
b75fcd37,Bengaluru,2023-01-08 03:00:00,2023-01-08 03:00:00,1,SPIKE,surface_pressure_hpa,915.7,921.0337858082115,medium,mag=5.33
c490bf81,Bengaluru,2022-08-23 16:00:00,2022-08-23 16:00:00,1,SPIKE,relative_humidity_pct,74.0,89.32647486600077,medium,mag=15.33
3f0dd459,Bengaluru,2023-06-05 12:00:00,2023-06-05 12:00:00,1,SPIKE,temperature_c,30.2,34.95829055424508,medium,mag=4.76
8e233ec5,Bengaluru,2021-06-02 17:00:00,2021-06-02 17:00:00,1,SPIKE,surface_pressure_hpa,911.0,912.8407598996524,small,mag=1.84
2191cbe0,Bengaluru,2022-09-18 10:00:00,2022-09-18 10:00:00,1,SPIKE,surface_pressure_hpa,915.8,914.0318538520938,small,mag=-1.77
af24b954,Bengaluru,2021-03-29 15:00:00,2021-03-29 15:00:00,1,SPIKE,surface_pressure_hpa,911.9,931.6199055219761,large,mag=19.72
6cafba6a,Bengaluru,2023-05-12 09:00:00,2023-05-12 09:00:00,1,SPIKE,relative_humidity_pct,63.0,23.42902102545078,large,mag=-39.57
7c84b01e,Bengaluru,2024-01-01 10:00:00,2024-01-01 10:00:00,1,SPIKE,surface_pressure_hpa,919.6,921.4270291239944,small,mag=1.83
f43b7a59,Bengaluru,2023-01-02 02:00:00,2023-01-02 02:00:00,1,SPIKE,surface_pressure_hpa,916.5,933.2470976006045,large,mag=16.75
778560ad,Bengaluru,2021-06-30 17:00:00,2021-06-30 17:00:00,1,SPIKE,temperature_c,29.4,12.560622632542405,large,mag=-16.84
0815ebfa,Bengaluru,2022-07-31 02:00:00,2022-07-31 02:00:00,1,SPIKE,temperature_c,19.7,17.31285118177452,small,mag=-2.39
4c3fff38,Bengaluru,2023-05-10 06:00:00,2023-05-10 06:00:00,1,SPIKE,surface_pressure_hpa,911.2,908.8910904727593,small,mag=-2.31
dc22e29e,Bengaluru,2022-08-04 14:00:00,2022-08-04 14:00:00,1,SPIKE,surface_pressure_hpa,907.9,909.8071827739142,small,mag=1.91
5ff9654b,Bengaluru,2024-09-25 05:00:00,2024-09-25 05:00:00,1,SPIKE,relative_humidity_pct,97.0,91.62475517383896,small,mag=-5.38
8f2088aa,Bengaluru,2023-12-17 08:00:00,2023-12-17 08:00:00,1,SPIKE,temperature_c,20.2,14.591780287653712,medium,mag=-5.61
d40eca31,Bengaluru,2024-06-06 23:00:00,2024-06-06 23:00:00,1,SPIKE,surface_pressure_hpa,914.0,893.5407536477328,large,mag=-20.46
566c9c9a,Bengaluru,2022-01-26 03:00:00,2022-01-26 03:00:00,1,SPIKE,temperature_c,17.3,12.370713525003527,medium,mag=-4.93
3bb26363,Bengaluru,2022-12-25 07:00:00,2022-12-25 07:00:00,1,SPIKE,surface_pressure_hpa,914.9,938.5003168675453,large,mag=23.60
6e124104,Bengaluru,2022-01-17 06:00:00,2022-01-17 06:00:00,1,SPIKE,relative_humidity_pct,93.0,139.2723247414563,large,mag=46.27
396a3b0a,Bengaluru,2022-11-05 10:00:00,2022-11-05 10:00:00,1,SPIKE,relative_humidity_pct,66.0,31.45347347931201,large,mag=-34.55
a69a57f0,Bengaluru,2022-12-19 11:00:00,2022-12-19 11:00:00,1,SPIKE,relative_humidity_pct,50.0,36.516561574942045,medium,mag=-13.48
4a67d1d9,Bengaluru,2024-03-15 21:00:00,2024-03-15 21:00:00,1,SPIKE,surface_pressure_hpa,917.4,922.4425996256559,medium,mag=5.04
aa89ebe3,Bengaluru,2023-12-27 15:00:00,2023-12-27 15:00:00,1,SPIKE,surface_pressure_hpa,917.2,915.5380133169083,small,mag=-1.66
3d1ebec9,Bengaluru,2023-09-16 11:00:00,2023-09-16 11:00:00,1,SPIKE,relative_humidity_pct,62.0,57.360580863162475,small,mag=-4.64
bb774c10,Bengaluru,2022-08-22 21:00:00,2022-08-22 21:00:00,1,SPIKE,surface_pressure_hpa,912.3,910.5149908162174,small,mag=-1.79
37bb4687,Bengaluru,2022-01-13 17:00:00,2022-01-13 17:00:00,1,SPIKE,surface_pressure_hpa,913.8,915.4513830805711,small,mag=1.65
4fde2fca,Bengaluru,2024-10-23 08:00:00,2024-10-23 08:00:00,1,SPIKE,relative_humidity_pct,88.0,102.49464540461894,medium,mag=14.49
e59fcf79,Bengaluru,2024-09-09 15:00:00,2024-09-09 15:00:00,1,SPIKE,temperature_c,27.4,21.860408455370674,medium,mag=-5.54
bf70592c,Bengaluru,2021-09-06 05:00:00,2021-09-06 05:00:00,1,SPIKE,surface_pressure_hpa,910.7,912.9124756608945,small,mag=2.21
73e4dbb1,Bengaluru,2021-05-09 15:00:00,2021-05-09 15:00:00,1,SPIKE,relative_humidity_pct,32.0,17.889447183969054,medium,mag=-14.11
3151af92,Bengaluru,2021-10-27 09:00:00,2021-10-27 09:00:00,1,SPIKE,relative_humidity_pct,68.0,84.40780436453815,medium,mag=16.41
5acbfe4d,Bengaluru,2022-02-22 08:00:00,2022-02-22 08:00:00,1,SPIKE,surface_pressure_hpa,916.7,914.8816517505894,small,mag=-1.82
bebf0317,Bengaluru,2022-03-13 20:00:00,2022-03-13 20:00:00,1,SPIKE,relative_humidity_pct,38.0,32.662252758754164,small,mag=-5.34
d259fd23,Bengaluru,2024-02-27 18:00:00,2024-02-27 18:00:00,1,SPIKE,relative_humidity_pct,44.0,4.521757612283039,large,mag=-39.48
f6ee988b,Bengaluru,2021-06-23 11:00:00,2021-06-23 11:00:00,1,SPIKE,temperature_c,29.0,46.44157317552061,large,mag=17.44
ed4eade1,Bengaluru,2023-11-17 16:00:00,2023-11-17 16:00:00,1,SPIKE,surface_pressure_hpa,915.2,931.871579697296,large,mag=16.67
6b403935,Bengaluru,2023-11-09 01:00:00,2023-11-09 01:00:00,1,SPIKE,relative_humidity_pct,99.0,103.36345805302686,small,mag=4.36
ea163b83,Bengaluru,2024-07-02 02:00:00,2024-07-02 02:00:00,1,SPIKE,relative_humidity_pct,95.0,80.2718040499011,medium,mag=-14.73
1e47784f,Bengaluru,2024-12-15 20:00:00,2024-12-15 20:00:00,1,SPIKE,relative_humidity_pct,80.0,62.29277528083663,medium,mag=-17.71
a46ac826,Bengaluru,2022-11-18 12:00:00,2022-11-18 12:00:00,1,SPIKE,relative_humidity_pct,34.0,48.82184101727828,medium,mag=14.82
8fa4ea09,Bengaluru,2021-02-01 08:00:00,2021-02-01 08:00:00,1,SPIKE,surface_pressure_hpa,919.6,895.9846424609447,large,mag=-23.62
32bf598c,Bengaluru,2021-11-09 19:00:00,2021-11-09 19:00:00,1,SPIKE,temperature_c,19.9,2.15628638334179,large,mag=-17.74
fc147e8d,Bengaluru,2022-12-30 14:00:00,2022-12-30 14:00:00,1,SPIKE,temperature_c,26.8,28.559488545890027,small,mag=1.76
18ba7f57,Bengaluru,2023-07-18 21:00:00,2023-07-18 21:00:00,1,SPIKE,temperature_c,22.4,9.64267415075476,large,mag=-12.76
ccd7433b,Bengaluru,2021-11-01 14:00:00,2021-11-01 14:00:00,1,SPIKE,surface_pressure_hpa,913.0,914.7743716327252,small,mag=1.77
087dbcdf,Bengaluru,2023-03-13 10:00:00,2023-03-13 10:00:00,1,SPIKE,surface_pressure_hpa,918.6,922.9355782867357,medium,mag=4.34
1aa8b089,Bengaluru,2024-04-02 04:00:00,2024-04-02 04:00:00,1,SPIKE,surface_pressure_hpa,913.1,935.3223350894035,large,mag=22.22
1a91e3e6,Bengaluru,2022-03-08 21:00:00,2022-03-08 21:00:00,1,SPIKE,temperature_c,22.5,18.44864314900507,medium,mag=-4.05
26118453,Bengaluru,2024-05-23 23:00:00,2024-05-23 23:00:00,1,SPIKE,relative_humidity_pct,88.0,135.33076541129435,large,mag=47.33
ffb2c0f2,Bengaluru,2021-01-09 20:00:00,2021-01-09 20:00:00,1,SPIKE,relative_humidity_pct,89.0,47.52643422000236,large,mag=-41.47
ea597165,Bengaluru,2022-12-21 05:00:00,2022-12-21 05:00:00,1,SPIKE,surface_pressure_hpa,911.8,909.5820152920389,small,mag=-2.22
679816f5,Bengaluru,2024-09-28 22:00:00,2024-09-28 22:00:00,1,SPIKE,surface_pressure_hpa,915.4,937.7698177328017,large,mag=22.37
6bf96c83,Bengaluru,2022-05-03 20:00:00,2022-05-03 20:00:00,1,SPIKE,surface_pressure_hpa,913.3,911.3572975894122,small,mag=-1.94
957dfe34,Bengaluru,2024-10-18 07:00:00,2024-10-18 07:00:00,1,SPIKE,relative_humidity_pct,93.0,97.68246234972257,small,mag=4.68
9ad102bf,Bengaluru,2021-10-18 13:00:00,2021-10-18 13:00:00,1,SPIKE,relative_humidity_pct,65.0,47.23527459671253,medium,mag=-17.76
1a454ef3,Bengaluru,2023-03-26 22:00:00,2023-03-26 22:00:00,1,SPIKE,surface_pressure_hpa,915.0,919.8709742900154,medium,mag=4.87
96e36bdc,Bengaluru,2024-10-18 06:00:00,2024-10-18 06:00:00,1,SPIKE,surface_pressure_hpa,912.3,930.4606591710991,large,mag=18.16
ce031b95,Bengaluru,2022-06-28 03:00:00,2022-06-28 03:00:00,1,SPIKE,surface_pressure_hpa,911.1,905.4485308031585,medium,mag=-5.65
4c63db94,Bengaluru,2023-10-19 00:00:00,2023-10-19 00:00:00,1,SPIKE,surface_pressure_hpa,916.9,912.4090096618125,medium,mag=-4.49
74d26d37,Bengaluru,2022-03-18 03:00:00,2022-03-18 03:00:00,1,SPIKE,temperature_c,21.0,25.487726878381913,medium,mag=4.49
d136cab0,Bengaluru,2024-12-19 05:00:00,2024-12-19 05:00:00,1,SPIKE,relative_humidity_pct,92.0,130.06382886605223,large,mag=38.06
7270b49d,Bengaluru,2021-01-02 13:00:00,2021-01-02 13:00:00,1,SPIKE,temperature_c,25.4,29.763679714315384,medium,mag=4.36
fb3c9e9e,Bengaluru,2023-06-05 03:00:00,2023-06-05 03:00:00,1,SPIKE,temperature_c,21.5,26.180677686328565,medium,mag=4.68
7dfad1d6,Bengaluru,2024-08-27 05:00:00,2024-08-27 05:00:00,1,SPIKE,surface_pressure_hpa,912.4,932.8463282233566,large,mag=20.45
8bf4fa90,Bengaluru,2021-02-23 04:00:00,2021-02-23 04:00:00,1,SPIKE,surface_pressure_hpa,914.2,912.0239402687167,small,mag=-2.18
29f3b5fd,Bengaluru,2021-11-02 11:00:00,2021-11-02 11:00:00,1,SPIKE,relative_humidity_pct,73.0,116.04974943114436,large,mag=43.05
f5b3c59d,Bengaluru,2023-09-19 04:00:00,2023-09-19 04:00:00,1,SPIKE,surface_pressure_hpa,912.1,889.7565370549415,large,mag=-22.34
319700cd,Bengaluru,2023-04-20 17:00:00,2023-04-20 17:00:00,1,SPIKE,temperature_c,32.9,27.516425689409594,medium,mag=-5.38
b470ef1d,Bengaluru,2022-10-16 20:00:00,2022-10-16 20:00:00,1,SPIKE,relative_humidity_pct,94.0,133.5721678201524,large,mag=39.57
3d2208e5,Bengaluru,2021-06-08 04:00:00,2021-06-08 04:00:00,1,SPIKE,surface_pressure_hpa,912.1,906.6081291265727,medium,mag=-5.49
0d31517a,Bengaluru,2022-10-20 17:00:00,2022-10-20 17:00:00,1,SPIKE,relative_humidity_pct,86.0,99.62549856185717,medium,mag=13.63
e6c5a559,Bengaluru,2021-08-04 01:00:00,2021-08-04 01:00:00,1,SPIKE,relative_humidity_pct,90.0,85.61483141309697,small,mag=-4.39
e8865671,Bengaluru,2021-08-22 21:00:00,2021-08-22 21:00:00,1,SPIKE,temperature_c,20.7,37.273137656904616,large,mag=16.57
dfce08f8,Bengaluru,2024-08-20 01:00:00,2024-08-20 01:00:00,1,SPIKE,temperature_c,20.3,18.312641130229835,small,mag=-1.99
79dc77dd,Bengaluru,2021-07-08 23:00:00,2021-07-08 23:00:00,1,SPIKE,surface_pressure_hpa,911.1,931.2970949528689,large,mag=20.20
73dbc539,Bengaluru,2024-12-25 15:00:00,2024-12-25 15:00:00,1,SPIKE,relative_humidity_pct,47.0,51.59249292653029,small,mag=4.59
e69b85a1,Bengaluru,2021-12-10 09:00:00,2021-12-10 09:00:00,1,SPIKE,relative_humidity_pct,76.0,70.58396302857794,small,mag=-5.42
4e1b6f7d,Bengaluru,2021-12-17 14:00:00,2021-12-17 14:00:00,1,SPIKE,temperature_c,25.4,21.290947959522022,medium,mag=-4.11
5f6666b5,Bengaluru,2024-07-21 20:00:00,2024-07-21 20:00:00,1,SPIKE,relative_humidity_pct,82.0,124.20591448169485,large,mag=42.21
3deb299a,Bengaluru,2022-03-27 21:00:00,2022-03-27 21:00:00,1,SPIKE,relative_humidity_pct,46.0,51.148128439252666,small,mag=5.15
e5fbfd1b,Bengaluru,2022-12-25 18:00:00,2022-12-25 18:00:00,1,SPIKE,relative_humidity_pct,93.0,79.89381797765951,medium,mag=-13.11
f2e77c46,Bengaluru,2024-12-11 21:00:00,2024-12-11 21:00:00,1,SPIKE,temperature_c,20.1,25.055458374531376,medium,mag=4.96
73285a0d,Bengaluru,2024-03-01 10:00:00,2024-03-01 10:00:00,1,SPIKE,temperature_c,28.1,22.945957687058367,medium,mag=-5.15
c4a6ee7f,Bengaluru,2022-08-02 08:00:00,2022-08-02 08:00:00,1,SPIKE,surface_pressure_hpa,909.7,907.45108633898,small,mag=-2.25
fe70ea17,Bengaluru,2022-07-04 06:00:00,2022-07-04 06:00:00,1,SPIKE,relative_humidity_pct,91.0,95.23690312442292,small,mag=4.24
ec9bbae0,Bengaluru,2023-05-02 04:00:00,2023-05-02 04:00:00,1,SPIKE,relative_humidity_pct,95.0,136.89469363995636,large,mag=41.89
3246a635,Bengaluru,2023-12-26 12:00:00,2023-12-26 12:00:00,1,SPIKE,surface_pressure_hpa,919.6,914.7145579919613,medium,mag=-4.89
e9645aac,Bengaluru,2023-10-17 16:00:00,2023-10-17 16:00:00,1,SPIKE,surface_pressure_hpa,914.6,909.3579453578557,medium,mag=-5.24
715976e9,Bengaluru,2024-04-11 07:00:00,2024-04-11 07:00:00,1,SPIKE,surface_pressure_hpa,916.2,894.0981031651623,large,mag=-22.10
48dc9f7e,Bengaluru,2024-11-14 07:00:00,2024-11-14 07:00:00,1,SPIKE,surface_pressure_hpa,915.1,913.4350500276264,small,mag=-1.66
b05989a1,Bengaluru,2024-05-17 20:00:00,2024-05-17 20:00:00,1,SPIKE,temperature_c,23.7,25.42522609235451,small,mag=1.73
456be87d,Bengaluru,2021-11-27 10:00:00,2021-11-27 10:00:00,1,SPIKE,relative_humidity_pct,73.0,87.81947487404611,medium,mag=14.82
79642f86,Bengaluru,2022-11-08 22:00:00,2022-11-08 22:00:00,1,SPIKE,temperature_c,18.3,16.47382530151017,small,mag=-1.83
911faac4,Bengaluru,2022-09-06 13:00:00,2022-09-06 13:00:00,1,SPIKE,relative_humidity_pct,66.0,71.8478220889651,small,mag=5.85
50eeeb0a,Bengaluru,2021-06-24 20:00:00,2021-06-24 20:00:00,1,SPIKE,surface_pressure_hpa,913.8,937.269347667564,large,mag=23.47
ca427c32,Bengaluru,2023-07-13 04:00:00,2023-07-13 04:00:00,1,SPIKE,relative_humidity_pct,98.0,103.29526944680497,small,mag=5.30
a1e83068,Bengaluru,2021-02-27 10:00:00,2021-02-27 10:00:00,1,SPIKE,relative_humidity_pct,31.0,26.66815442155855,small,mag=-4.33
7fb85760,Bengaluru,2022-09-21 08:00:00,2022-09-21 08:00:00,1,SPIKE,relative_humidity_pct,84.0,125.10731278910548,large,mag=41.11
8fab4715,Bengaluru,2022-08-25 08:00:00,2022-08-25 08:00:00,1,SPIKE,relative_humidity_pct,81.0,64.86793205272744,medium,mag=-16.13
cd43d426,Bengaluru,2021-01-20 15:00:00,2021-01-20 15:00:00,1,SPIKE,surface_pressure_hpa,915.6,920.6009443542358,medium,mag=5.00
9ae8f3c8,Bengaluru,2021-07-13 20:00:00,2021-07-13 20:00:00,1,SPIKE,relative_humidity_pct,85.0,72.76083529489833,medium,mag=-12.24
7d088edc,Bengaluru,2021-06-10 18:00:00,2021-06-10 18:00:00,1,SPIKE,relative_humidity_pct,72.0,35.994113561407936,large,mag=-36.01
011abd98,Bengaluru,2022-09-18 03:00:00,2022-09-18 03:00:00,1,SPIKE,temperature_c,19.0,21.268766891124944,small,mag=2.27
17b1b8ec,Bengaluru,2021-07-04 01:00:00,2021-07-04 01:00:00,1,SPIKE,surface_pressure_hpa,911.5,935.4965793350196,large,mag=24.00
ec9f4da6,Bengaluru,2021-03-27 18:00:00,2021-03-27 18:00:00,1,SPIKE,surface_pressure_hpa,912.9,918.4262180083434,medium,mag=5.53
726b6657,Bengaluru,2023-06-22 06:00:00,2023-06-22 06:00:00,1,SPIKE,temperature_c,21.4,26.284458808840405,medium,mag=4.88
1115b272,Bengaluru,2021-07-13 11:00:00,2021-07-13 11:00:00,1,SPIKE,relative_humidity_pct,72.0,76.871769974154,small,mag=4.87
a8399399,Bengaluru,2024-11-04 23:00:00,2024-11-04 23:00:00,1,SPIKE,relative_humidity_pct,95.0,90.18330381313997,small,mag=-4.82
715e339e,Bengaluru,2023-05-27 16:00:00,2023-06-01 04:00:00,2,DRIFT,temperature_c,31.1,19.81,slow,"rate=-0.010,dur=109"
